N;Latitude;Longitude
1;9,996758;-83,785385
2;9,996705;-83,785368
3;9,996702;-83,785367
4;9,996738;-83,785405
5;9,996717;-83,785337
6;9,996703;-83,78538
7;9,996753;-83,78539
8;9,996742;-83,785312
9;9,996702;-83,78538
10;9,996705;-83,785367
11;9,996745;-83,785342
12;9,996708;-83,785425
13;9,996703;-83,78538
14;9,996742;-83,785418
15;9,996755;-83,785357
16;9,996698;-83,785427
17;9,996705;-83,785385
18;9,996742;-83,78539
19;9,996703;-83,785383
20;9,99676;-83,785382
21;9,996693;-83,785418
22;9,996708;-83,785363
23;9,996697;-83,785408
24;9,996712;-83,785387
25;9,996707;-83,785365
26;9,99671;-83,785393
27;9,996687;-83,785415
28;9,996727;-83,785375
29;9,996733;-83,785425
30;9,9967;-83,785412
31;9,996668;-83,785407
32;9,996717;-83,78533
33;9,996713;-83,785402
34;9,996695;-83,785418
35;9,996745;-83,785393
36;9,996717;-83,78538
37;9,99665;-83,785407
38;9,99674;-83,785397
39;9,99668;-83,785397
40;9,996748;-83,785315
41;9,996713;-83,785403
42;9,996767;-83,785407
43;9,996712;-83,78539
44;9,996703;-83,785397
45;9,996653;-83,785397
46;9,996715;-83,785365
47;9,996768;-83,785407
48;9,996718;-83,785403
49;9,996655;-83,785422
50;9,996748;-83,785343
51;9,996688;-83,785382
52;9,996753;-83,785403
53;9,99674;-83,785397
54;9,99673;-83,785382
55;9,996655;-83,785393
56;9,996692;-83,785398
57;9,996698;-83,785407
58;9,996718;-83,78542
59;9,996743;-83,785397
60;9,996777;-83,785407
61;9,996747;-83,785397
62;9,996657;-83,785422
63;9,996755;-83,785365
64;9,996723;-83,785402
65;9,996697;-83,785377
66;9,99678;-83,785398
67;9,996758;-83,785417
68;9,996625;-83,785373
69;9,996643;-83,785385
70;9,99674;-83,785387
71;9,996705;-83,785382
72;9,996703;-83,785415
73;9,99677;-83,785418
74;9,996745;-83,785403
75;9,996763;-83,785388
76;9,996742;-83,785388
77;9,996657;-83,78542
78;9,996722;-83,7854
79;9,996702;-83,78537
80;9,996773;-83,785452
81;9,99678;-83,785408
82;9,996637;-83,78538
83;9,996707;-83,785408
84;9,99664;-83,78538
85;9,996705;-83,785358
86;9,996703;-83,785385
87;9,99676;-83,785418
88;9,996755;-83,785467
89;9,996702;-83,785367
90;9,996717;-83,785402
91;9,99672;-83,785353
