Numero;lat1;lon1
1;-84.34186;10.4392
2;-84.34191;10.43948
3;-84.34198;10.43984
4;-84.34277;10.44375
5;-84.34305;10.44596
6;-84.34342;10.44893
7;-84.34364;10.45117
8;-84.34387;10.45366
9;-84.34416;10.45599
10;-84.3443;10.45712
11;-84.34445;10.4584
12;-84.34446;10.45856
13;-84.34469;10.45973
14;-84.34516;10.46051
15;-84.34572;10.46135
16;-84.34608;10.4619
17;-84.34911;10.46663
18;-84.34918;10.46671
19;-84.3494;10.46704
20;-84.34971;10.4674
21;-84.35003;10.46772
22;-84.35221;10.46959
23;-84.35244;10.46991
24;-84.35442;10.4755
25;-84.35539;10.47846
26;-84.35574;10.47919
27;-84.3564;10.48
28;-84.35962;10.48412
29;-84.36301;10.48856
30;-84.3637;10.48945
31;-84.36606;10.49268
32;-84.36783;10.49532
33;-84.36825;10.49575
34;-84.36971;10.49685
35;-84.37065;10.49751
36;-84.37155;10.49837
37;-84.37256;10.49957
38;-84.37343;10.5006
39;-84.37406;10.50031
40;-84.37449;10.5003
41;-84.37505;10.50034
42;-84.37786;10.50067
43;-84.38021;10.50093
44;-84.38145;10.50106
45;-84.38179;10.5011
46;-84.38314;10.5013
47;-84.38406;10.50145
48;-84.38708;10.50184
49;-84.38902;10.50194
50;-84.38929;10.50195
51;-84.39115;10.50202
52;-84.39173;10.50211
53;-84.33795;10.37434
54;-84.33792;10.37434
55;-84.33751;10.3743
56;-84.33713;10.37428
57;-84.33675;10.37429
58;-84.33623;10.37429
59;-84.33599;10.3743
60;-84.33549;10.37432
61;-84.33484;10.37436
62;-84.33446;10.37437
63;-84.33415;10.37434
64;-84.33376;10.37428
65;-84.33349;10.37423
66;-84.33316;10.37416
67;-84.33256;10.37405
68;-84.33227;10.37401
69;-84.332;10.37398
70;-84.33157;10.37394
71;-84.3311;10.37391
72;-84.33101;10.37391
73;-84.33035;10.37387
74;-84.32939;10.37383
75;-84.32869;10.37379
76;-84.32818;10.37373
77;-84.32784;10.37369
78;-84.32732;10.3736
79;-84.32707;10.37358
80;-84.327;10.37357
81;-84.32671;10.37356
82;-84.26693;10.3516
83;-84.26683;10.35154
84;-84.2667;10.35146
85;-84.26661;10.35138
86;-84.26652;10.35128
87;-84.2662;10.35086
88;-84.26546;10.34988
89;-84.26536;10.34975
90;-84.26505;10.34935
91;-84.26492;10.34911
92;-84.26472;10.34869
93;-84.2644;10.34789
94;-84.26423;10.34756
95;-84.26413;10.34747
96;-84.26401;10.34739
97;-84.26379;10.34728
98;-84.19507;10.32353
99;-84.19351;10.32308
100;-84.19334;10.32304
101;-84.19286;10.32282
102;-84.19258;10.32257
103;-84.19241;10.32227
104;-84.19218;10.32181
105;-84.18989;10.3181
106;-84.18938;10.31734
107;-84.18918;10.31699
108;-84.18909;10.31671
109;-84.18894;10.31643
110;-84.18876;10.31625
111;-84.18857;10.31615
112;-84.18846;10.3161
113;-84.1879;10.31585
114;-84.18683;10.31547
115;-84.18569;10.31514
116;-84.18559;10.31509
117;-84.1855;10.31503
118;-84.18533;10.3149
119;-84.18467;10.31377
120;-84.18453;10.31365
121;-84.18439;10.31356
122;-84.18424;10.31347
123;-84.184;10.31339
124;-84.18385;10.31336
125;-84.18371;10.3133
126;-84.18363;10.31324
127;-84.18342;10.31306
128;-84.19541;10.32361
129;-84.19507;10.32353
130;-84.19834;10.33292
131;-84.19822;10.33273
132;-84.19813;10.33253
133;-84.19808;10.33235
134;-84.19806;10.33192
135;-84.19806;10.33066
136;-84.19804;10.3304
137;-84.19802;10.33007
138;-84.19795;10.32977
139;-84.19786;10.32951
140;-84.19764;10.32894
141;-84.19726;10.32806
142;-84.19701;10.32747
143;-84.19688;10.32704
144;-84.19679;10.3266
145;-84.19637;10.32429
146;-84.19629;10.32413
147;-84.19618;10.32399
148;-84.19608;10.32389
149;-84.19595;10.3238
150;-84.19581;10.32373
151;-84.1956;10.32365
152;-84.19541;10.32361
153;-84.19851;10.33317
154;-84.19834;10.33292
155;-84.21906;10.34446
156;-84.21852;10.34412
157;-84.21815;10.34395
158;-84.21757;10.34363
159;-84.21744;10.34354
160;-84.217;10.34328
161;-84.2193;10.3446
162;-84.21906;10.34446
163;-84.24482;10.34667
164;-84.2443;10.34618
165;-84.24393;10.3459
166;-84.24375;10.34584
167;-84.24354;10.34583
168;-84.24326;10.34588
169;-84.24289;10.34602
170;-84.24083;10.34673
171;-84.23881;10.34744
172;-84.23816;10.34762
173;-84.23775;10.34767
174;-84.23721;10.34772
175;-84.23641;10.34772
176;-84.23033;10.34778
177;-84.22816;10.34784
178;-84.22749;10.34785
179;-84.22711;10.34785
180;-84.22612;10.34783
181;-84.22541;10.34786
182;-84.22516;10.34786
183;-84.22485;10.34785
184;-84.22454;10.34782
185;-84.22422;10.34774
186;-84.22392;10.34764
187;-84.22361;10.34751
188;-84.22328;10.34734
189;-84.22321;10.34729
190;-84.22263;10.34689
191;-84.22145;10.34603
192;-84.22077;10.34555
193;-84.24529;10.34705
194;-84.24482;10.34667
195;-84.33917;10.37448
196;-84.33928;10.37358
197;-84.3394;10.37225
198;-84.33941;10.3722
199;-84.33944;10.37217
200;-84.34529;10.3742
201;-84.34468;10.37418
202;-84.34379;10.3741
203;-84.34319;10.37406
204;-84.34269;10.37401
205;-84.34324;10.37583
206;-84.34172;10.37567
207;-84.34118;10.37562
208;-84.34113;10.3756
209;-84.34024;10.3755
