Numero;lat;lon
1;-84.342;10.439
2;-84.342;10.439
3;-84.342;10.440
4;-84.343;10.444
5;-84.343;10.446
6;-84.343;10.449
7;-84.344;10.451
8;-84.344;10.454
9;-84.344;10.456
10;-84.344;10.457
11;-84.344;10.458
12;-84.344;10.459
13;-84.345;10.460
14;-84.345;10.461
15;-84.346;10.461
16;-84.346;10.462
17;-84.349;10.467
18;-84.349;10.467
19;-84.349;10.467
20;-84.350;10.467
21;-84.350;10.468
22;-84.352;10.470
23;-84.352;10.470
24;-84.354;10.475
25;-84.355;10.478
26;-84.356;10.479
27;-84.356;10.480
28;-84.360;10.484
29;-84.363;10.489
30;-84.364;10.489
31;-84.366;10.493
32;-84.368;10.495
33;-84.368;10.496
34;-84.370;10.497
35;-84.371;10.498
36;-84.372;10.498
37;-84.373;10.500
38;-84.373;10.501
39;-84.374;10.500
40;-84.374;10.500
41;-84.375;10.500
42;-84.378;10.501
43;-84.380;10.501
44;-84.381;10.501
45;-84.382;10.501
46;-84.383;10.501
47;-84.384;10.501
48;-84.387;10.502
49;-84.389;10.502
50;-84.389;10.502
51;-84.391;10.502
52;-84.392;10.502
53;-84.338;10.374
54;-84.338;10.374
55;-84.338;10.374
56;-84.337;10.374
57;-84.337;10.374
58;-84.336;10.374
59;-84.336;10.374
60;-84.335;10.374
61;-84.335;10.374
62;-84.334;10.374
63;-84.334;10.374
64;-84.334;10.374
65;-84.333;10.374
66;-84.333;10.374
67;-84.333;10.374
68;-84.332;10.374
69;-84.332;10.374
70;-84.332;10.374
71;-84.331;10.374
72;-84.331;10.374
73;-84.330;10.374
74;-84.329;10.374
75;-84.329;10.374
76;-84.328;10.374
77;-84.328;10.374
78;-84.327;10.374
79;-84.327;10.374
80;-84.327;10.374
81;-84.327;10.374
82;-84.267;10.352
83;-84.267;10.352
84;-84.267;10.351
85;-84.267;10.351
86;-84.267;10.351
87;-84.266;10.351
88;-84.265;10.350
89;-84.265;10.350
90;-84.265;10.349
91;-84.265;10.349
92;-84.265;10.349
93;-84.264;10.348
94;-84.264;10.348
95;-84.264;10.347
96;-84.264;10.347
97;-84.264;10.347
98;-84.195;10.324
99;-84.194;10.323
100;-84.193;10.323
101;-84.193;10.323
102;-84.193;10.323
103;-84.192;10.322
104;-84.192;10.322
105;-84.190;10.318
